artist;song;duration_ms
The Fratellis;Chelsea Dagger;215306
Fort Minor;Where'd You Go (feat. Holly Brook & Jonah Matranga);231866
The Pussycat Dolls;Stickwitu;207506
Panic! At The Disco;I Write Sins Not Tragedies;185586
James Blunt;Goodbye My Lover;258653
Christina Aguilera;Ain't No Other Man;228906
Westlife;The Rose;219106
Keane;Is It Any Wonder?;186173
Orson;No Tomorrow;167493
T-Pain;I'm N Luv (Wit a Stripper) (feat. Mike Jones);265333
KT Tunstall;Black Horse And The Cherry Tree;172373
Natasha Bedingfield;Unwritten;259333
Razorlight;America;249760
James Morrison;You Give Me Something;213173
Snow Patrol;You're All I Have;273333
The Fray;How to Save a Life;262533
Sandi Thom;I Wish I Was a Punk Rocker (with Flowers in My Hair);151640
