artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
So Solid Crew;21 Seconds;0,607;0,637;1;-11,072;1;0,241;0,0191;0;0,124;0,818;137,03
Robbie Williams;Eternity;0,469;0,316;10;-8,106;1;0,0265;0,504;6,04E-06;0,0919;0,199;77,967
Basement Jaxx;Romeo;0,713;0,829;2;-4,171;1;0,0491;0,00769;0,00203;0,139;0,844;126,853
Ludacris;Southern Hospitality (Featuring Pharrell);0,623;0,896;0;-4,719;1;0,247;0,035;0;0,0941;0,613;95,158
Gabrielle;Rise;0,558;0,481;8;-9,487;1;0,026;0,315;8,83E-06;0,09;0,631;144,673
Nelly;Ride Wit Me;0,85;0,7;7;-6,49;1;0,0478;0,0616;1,80E-06;0,244;0,722;101,875
Trick Daddy;I'm a Thug;0,933;0,561;11;-5,961;1;0,122;0,0275;0;0,102;0,586;139,976
Travis;Sing;0,33;0,905;4;-5,047;1;0,0497;0,000233;8,14E-06;0,0712;0,259;163,142
JAY-Z;Izzo (H.O.V.A.);0,618;0,844;1;-4,051;0;0,342;0,0178;0,000126;0,0634;0,697;84,411
Gabrielle;Out Of Reach;0,51;0,48;11;-6,567;1;0,0452;0,503;0;0,106;0,496;182,862
OPM;Heaven Is a Halfpipe (If I Die);0,743;0,894;8;-6,886;1;0,0349;0,0755;0,00283;0,367;0,77;95,9
K-Ci & JoJo;Crazy;0,68;0,644;0;-4,507;1;0,0258;0,084;0;0,549;0,484;116,097
Staind;It's Been Awhile;0,509;0,774;6;-4,054;1;0,0338;0,00189;0,000549;0,143;0,0824;116,529
3LW;No More (Baby I'ma Do Right);0,721;0,723;2;-7,08;0;0,0631;0,102;4,40E-06;0,0651;0,761;88,933
Ginuwine;Differences;0,562;0,594;3;-4,578;0;0,0558;0,318;0;0,311;0,423;62,876
*NSYNC;Gone;0,699;0,403;11;-8,564;0;0,0614;0,421;0;0,126;0,5;113,922
Lifehouse;Hanging By A Moment;0,537;0,858;1;-4,903;1;0,0349;0,000966;0;0,0812;0,502;124,599
Nelly;Dilemma;0,727;0,552;2;-8,074;0;0,14;0,227;0,000164;0,198;0,607;168,189
Eminem;Without Me;0,908;0,669;7;-2,827;1;0,0738;0,00286;0;0,237;0,662;112,238
Avril Lavigne;Complicated;0,585;0,776;5;-5,898;1;0,0459;0,0572;7,74E-06;0,3;0,427;77,987
Vanessa Carlton;A Thousand Miles;0,56;0,825;11;-3,862;1;0,0379;0,323;0;0,161;0,268;94,931
The Calling;Wherever You Will Go;0,558;0,719;2;-5,113;1;0,0267;0,0367;0;0,115;0,371;112,027
Shakira;Underneath Your Clothes;0,616;0,597;8;-5,328;1;0,0415;0,691;0;0,104;0,362;165,508
No Doubt;Underneath It All;0,729;0,731;4;-4,822;1;0,0684;0,232;1,57E-06;0,391;0,839;138,202
Truth Hurts;Addictive;0,701;0,677;11;-6,591;0;0,147;0,0737;0,000162;0,187;0,367;99,271
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);0,648;0,759;6;-4,315;1;0,306;0,0142;0;0,648;0,518;85,996
Eminem;'Till I Collapse;0,548;0,847;1;-3,237;1;0,186;0,0622;0;0,0816;0,1;171,447
Diddy;I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];0,713;0,471;1;-7,392;0;0,483;0,421;0;0,0308;0,779;199,764
Christina Milian;When You Look At Me - Radio Edit;0,955;0,839;3;-3,399;0;0,127;0,0934;0,000175;0,099;0,825;108,955
Madonna;Die Another Day;0,792;0,797;0;-5,166;0;0,0901;0,062;0,00325;0,0896;0,491;123,993
Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);0,718;0,69;10;-4,382;0;0,265;0,106;0;0,271;0,774;93,401
Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);0,583;0,643;9;-7,486;0;0,355;0,171;0;0,0395;0,7;195,685
Linkin Park;In the End;0,556;0,864;3;-5,87;0;0,0584;0,00958;0;0,209;0,4;105,143
Las Ketchup;The Ketchup Song (Aserejé) - Spanglish Version;0,607;0,923;1;-6,777;1;0,0948;0,0193;1,10E-06;0,0924;0,868;184,819
Aaliyah;Rock The Boat;0,641;0,72;5;-5,209;1;0,0336;0,0688;0,00286;0,193;0,418;92,988
Holly Valance;Kiss Kiss;0,705;0,717;4;-4,944;0;0,125;0,00369;0,461;0,0701;0,554;97,036
Sugababes;Round Round;0,74;0,845;6;-3,802;0;0,0338;0,00287;6,23E-06;0,115;0,749;126,607
Marilyn Manson;Tainted Love;0,622;0,876;8;-7,779;1;0,0728;0,00107;1,83E-06;0,292;0,537;142,017
Brandy;What About Us?;0,686;0,698;5;-2,942;0;0,223;0,263;0;0,39;0,748;93,118
Chad Kroeger;Hero (feat. Josey Scott);0,427;0,843;4;-4,54;1;0,0364;0,00216;0;0,179;0,304;147,387
Britney Spears;Overprotected - Radio Edit;0,682;0,894;0;-1,73;0;0,0727;0,0381;0;0,416;0,845;95,992
Scooter;The Logical Song;0,527;0,933;6;-6,277;0;0,0382;0,00112;0,0362;0,425;0,493;144,043
Missy Elliott;4 My People (feat. Eve);0,969;0,701;1;-7,503;1;0,156;0,14;0,00161;0,201;0,905;121,392
Aaliyah;More Than A Woman;0,646;0,638;11;-5,803;1;0,0787;0,0556;0,0014;0,182;0,74;86,994
Brandy;Full Moon;0,611;0,654;10;-4,823;0;0,139;0,372;0,00432;0,0926;0,609;105,922
